id,text,categories
lz023,"Czy potrafisz się zgubić w miejscu, które dobrze znasz?",Luźne
lz024,"Czy kiedyś uczyłeś się czegoś tylko po to, żeby zaimponować komuś?",Luźne
lz025,Czy jesteś w stanie wstać rano bez 5 drzemek?,Luźne
lz026,Czy miałeś kiedyś wymyślonego przyjaciela?,Luźne
lz027,"Czy zdarza Ci się coś zepsuć i udawać, że to nie Ty?",Luźne
lz028,Czy potrafisz wytrzymać cały dzień bez narzekania?,Luźne
lz029,Czy byłbyś w stanie zamieszkać w małym domku na wsi bez technologii?,Luźne
lz030,Czy kiedykolwiek chciałeś być bohaterem kreskówki?,Luźne
ps001,Czy lubiłeś odpowiadać przy tablicy w szkole?,Przeszłość
ps002,Czy często chodziłeś na wagary?,Przeszłość
ps003,Czy byłeś bardziej niejadkiem niż wszystkożercą jako dziecko?,Przeszłość
ps004,"Czy miałeś kiedyś swojego ulubionego pluszaka, bez którego nie zasypiałeś?",Przeszłość
ps005,Czy zdarza Ci się ukrywać słodycze przed rodzicami?,Przeszłość
ps006,Czy często sięgałeś po pomoc rodziców przy odrabianiu lekcji?,Przeszłość
ps007,"Czy miałeś w dzieciństwie przyjaciół, z którymi spędzałeś całe dnie?",Przeszłość
ps008,"Czy byłeś typem dziecka, które bało się ciemności?",Przeszłość
ps009,"Czy zdarzyło Ci się zrobić coś zakazanego, czego nie przyznałeś się rodzicom?",Przeszłość
ps010,Czy często marzyłeś o byciu kimś wyjątkowym lub sławnym?,Przeszłość
ps011,"Czy miałeś ulubioną grę lub zabawkę, z którą nie rozstawałeś się nigdy?",Przeszłość
ps012,Czy lubiłeś brać udział w szkolnych przedstawieniach lub konkursach?,Przeszłość
ps013,"Czy zdarza Ci się chować przed rodzicami coś, co chciałeś mieć tylko dla siebie?",Przeszłość
ps014,Czy byłeś bardziej spokojnym czy rozbrykanym dzieckiem?,Przeszłość
ps015,Czy często się śmiałeś z dowcipów kolegów w szkole?,Przeszłość
ps016,"Czy miałeś swój sekret lub tajne miejsce, do którego chodziłeś?",Przeszłość
ps017,Czy brałeś udział w jakimś szkolnym sporcie lub zajęciach dodatkowych?,Przeszłość
ps018,Czy pamiętasz swoją pierwszą zakochaną osobę?,Przeszłość
ps019,Czy często dostawałeś uwagę od nauczycieli za psoty?,Przeszłość
ps020,Czy miałeś jakieś zwierzątko w dzieciństwie?,Przeszłość
ps021,Czy lubiłeś spędzać wakacje na wsi lub u dziadków?,Przeszłość
ps022,Czy pamiętasz swoją pierwszą wycieczkę szkolną?,Przeszłość
ps023,"Czy miałeś ulubioną książkę lub bajkę, do której często wracałeś?",Przeszłość
ps024,Czy miałeś kiedykolwiek problem z nauczycielem lub wychowawcą?,Przeszłość
ps025,Czy potrafiłeś dobrze się bawić na szkolnych imprezach?,Przeszłość
ps026,Czy często pomagałeś rodzicom w domu jako dziecko?,Przeszłość
ps027,Czy miałeś kiedyś problem z wczesnym wstawaniem do szkoły?,Przeszłość
ps028,Czy pamiętasz swój pierwszy dzień w nowej szkole?,Przeszłość
ps029,"Czy byłeś osobą, która łatwo nawiązywała nowe znajomości?",Przeszłość
ps030,Czy często słuchałeś muzyki lub oglądałeś filmy z dzieciństwa?,Przeszłość
wol001,Wolisz chodzić wolno czy szybko?,Wolisz
wol002,Wolisz pikantne czy łagodne jedzenie?,Wolisz
wol003,Wolisz lato czy zimę?,Wolisz
wol004,Wolisz kawę czy herbatę?,Wolisz
wol005,Wolisz książkę czy film?,Wolisz
wol006,Wolisz spędzać czas w mieście czy na wsi?,Wolisz
wol007,Wolisz oglądać komedie czy thrillery?,Wolisz
wol008,Wolisz plażę czy góry?,Wolisz
wol009,Wolisz wstać bardzo wcześnie czy zostać do późna?,Wolisz
wol010,Wolisz mieć dużo znajomych czy kilku bliskich przyjaciół?,Wolisz
wol011,Wolisz słuchać muzyki głośno czy cicho?,Wolisz
wol012,Wolisz spędzać wakacje aktywnie czy leniuchując?,Wolisz
wol013,Wolisz oglądać seriale czy filmy?,Wolisz
wol014,Wolisz poranki czy wieczory?,Wolisz
wol015,Wolisz zwierzęta domowe czy egzotyczne?,Wolisz
wol016,Wolisz słodkie czy słone przekąski?,Wolisz
wol017,Wolisz czytać książki papierowe czy e-booki?,Wolisz
wol018,Wolisz robić zdjęcia czy oglądać zdjęcia?,Wolisz
wol019,Wolisz być kierowcą czy pasażerem?,Wolisz
wol020,Wolisz rozmawiać przez telefon czy pisać wiadomości?,Wolisz
wol021,Wolisz imprezę z dużą ilością ludzi czy kameralne spotkanie?,Wolisz
wol022,Wolisz gotować sam czy jeść na mieście?,Wolisz
wol023,Wolisz oglądać sport czy uprawiać sport?,Wolisz
wol024,Wolisz słuchać muzyki klasycznej czy rockowej?,Wolisz
wol025,Wolisz mieć 1 godzinę więcej snu czy 1 godzinę więcej wolnego czasu?,Wolisz
wol026,Wolisz wziąć prysznic czy kąpiel?,Wolisz
wol027,Wolisz prowadzić samochód czy podróżować pociągiem?,Wolisz
wol028,Wolisz mieć super pamięć czy super szybkość?,Wolisz
wol029,Wolisz rozwiązywać krzyżówki czy sudoku?,Wolisz
wol030,Wolisz spędzać czas na zewnątrz czy w domu?,Wolisz
dyl001,Wolisz mieć zawsze dziwne przebłyski geniuszu czy nigdy nie zapominać niczego ważnego?,Dylematy
dyl002,Wolisz mówić tylko w rymach czy tylko śpiewać?,Dylematy
dyl003,Wolisz mieć w kieszeni zawsze 10 groszy czy 5 cukierków?,Dylematy
dyl004,Wolisz codziennie jeść pizzę czy lody przez miesiąc?,Dylematy
dyl005,Wolisz chodzić do pracy w piżamie czy na spotkania w stroju kąpielowym?,Dylematy
dyl006,Wolisz mieć głos jak kaczka czy chodzić jak pingwin?,Dylematy
dyl007,"Wolisz, żeby każdy słyszał Twoje myśli czy żebyś Ty słyszał myśli wszystkich?",Dylematy
dyl008,Wolisz mieć zawsze zakręcony kabel słuchawek czy nigdy nie móc znaleźć ładowarki?,Dylematy
dyl009,Wolisz zostać bohaterem filmu akcji czy komedii romantycznej?,Dylematy
dyl010,"Wolisz, żeby Twój telefon miał zawsze 1% baterii czy był zawsze wyciszony?",Dylematy
dyl011,"Wolisz mieć super moc teleportacji, ale tylko do łazienki, czy umieć latać, ale tylko na 1 metr?",Dylematy
dyl012,Wolisz jeść tylko słodkie przez tydzień czy tylko słone?,Dylematy
dyl013,"Wolisz mówić z akcentem każdego, kto do Ciebie mówi, czy powtarzać wszystko, co ktoś powie?",Dylematy
dyl014,Wolisz mieć gigantyczne stopy czy malutkie ręce?,Dylematy
dyl015,Wolisz zawsze spóźniać się 5 minut czy zawsze przychodzić 5 minut za wcześnie?,Dylematy
dyl016,Wolisz żyć bez muzyki czy bez filmów?,Dylematy
dyl017,"Wolisz, żeby każdy znał Twoje hasło do telefonu czy wszystkie Twoje ulubione miejsca?",Dylematy
dyl018,Wolisz nie móc kłamać czy nie móc mówić prawdy?,Dylematy
dyl019,Wolisz mieć na stałe wąsy czy mieć włosy tylko na jednej stronie głowy?,Dylematy
dyl020,Wolisz nigdy nie móc używać emotikonów czy nigdy nie móc używać memów?,Dylematy
dyl021,Wolisz mieć super pamięć do liczb czy do twarzy?,Dylematy
dyl022,Wolisz codziennie dostawać list od nieznajomego czy nigdy nie dostawać żadnej wiadomości?,Dylematy
dyl023,Wolisz przez cały dzień mówić szeptem czy krzyczeć?,Dylematy
dyl024,Wolisz być najzabawniejszą osobą w grupie czy najbardziej poważną?,Dylematy
dyl025,Wolisz jeść tylko jedną potrawę przez resztę życia czy nigdy nie jeść swojego ulubionego dania?,Dylematy
dyl026,Wolisz mieć zawsze idealnie ułożone włosy czy zawsze idealnie czyste buty?,Dylematy
dyl027,Wolisz mieszkać na księżycu czy pod wodą?,Dylematy
dyl028,"Wolisz mieć zwierzę, które mówi czy lata jak ptak?",Dylematy
dyl029,"Wolisz mieć super siłę, ale być ślepy czy widzieć perfekcyjnie, ale być słaby?",Dylematy
dyl030,Wolisz zawsze zapominać imiona czy twarze?,Dylematy
